Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
8.5 Cr,4.22 Lacs,6,Ballygunge,4200,20.24,422,85000
45.0 L,23.83 K,3,Barrackpore,1400,3.21,23.83,4500
1.35 Cr,67.02 K,3,Santoshpur,2500,5.4,67.02,13500
60.0 L,31.77 K,5,Sarsuna,1100,5.45,31.77,6000
52.0 L,27.54 K,4,Madhyamgram,900,5.78,27.54,5200
32.0 L,16.95 K,3,Thakurpukur,1200,2.67,16.95,3200
69.3 L,36.70 K,3,Rajpur,2310,3,36.7,6930
40.0 L,21.18 K,2,North Dum Dum,1170,3.42,21.18,4000
95.0 L,47.16 K,4,Dhakuria,1862,5.1,47.16,9500
3.0 Cr,1.49 Lacs,9,Shyambazar,4200,7.14,149,30000
80.0 L,39.72 K,3,Nazirabad,1800,4.44,39.72,8000
48.0 L,25.42 K,4,Joka,1650,2.91,25.42,4800
1.3 Cr,64.54 K,6,Kasba,5000,2.6,64.54,13000
45.0 Cr,22.34 Lacs,10,Ballygunge,15000,30,2234,450000
55.0 L,29.13 K,4,Barrackpore,1400,3.93,29.13,5500
1.4 Cr,69.50 K,4,Barisha,1500,9.33,69.5,14000
67.0 L,35.48 K,4,Barrackpore,1440,4.65,35.48,6700
99.0 L,49.15 K,5,Behala,2500,3.96,49.15,9900
31.99 L,16.94 K,3,Joka,1400,2.29,16.94,3199
75.0 L,39.72 K,9,Taratala,1450,5.17,39.72,7500
60.0 L,31.77 K,5,Sarsuna,1100,5.45,31.77,6000
52.0 L,27.54 K,4,Madhyamgram,900,5.78,27.54,5200
32.0 L,16.95 K,3,Thakurpukur,1200,2.67,16.95,3200
69.3 L,36.70 K,3,Rajpur,2310,3,36.7,6930
40.0 L,21.18 K,2,North Dum Dum,1170,3.42,21.18,4000
95.0 L,47.16 K,4,Dhakuria,1862,5.1,47.16,9500
3.0 Cr,1.49 Lacs,9,Shyambazar,4200,7.14,149,30000
80.0 L,39.72 K,3,Nazirabad,1800,4.44,39.72,8000
48.0 L,25.42 K,4,Joka,1650,2.91,25.42,4800
1.3 Cr,64.54 K,6,Kasba,5000,2.6,64.54,13000
45.0 Cr,22.34 Lacs,10,Ballygunge,15000,30,2234,450000
55.0 L,29.13 K,4,Barrackpore,1400,3.93,29.13,5500
1.4 Cr,69.50 K,4,Barisha,1500,9.33,69.5,14000
